Sigla,Município,Q1,Q2,Q3,Q4,Average Precipitation,,,,
GO,Porteirão,,,,,#DIV/0!,,,,
GO,Portelândia,262.33,119.3,17.95,140.75,135.0825,,,,
GO,Posse,251.05,114.07,5.77,120.6,122.8725,,,,
GO,Professor Jamil,247.08,113.38,9.33,135.35,126.285,,,,
GO,Quirinópolis,252.12,118.14,17.86,143.63,132.9375,,,,
GO,Rialma,285.77,125.4,9.53,153.7,143.6,,,,
GO,Rianápolis,285.93,125.1,10.7,154.97,144.175,,,,
GO,Rio Quente,248.23,102.85,10.67,123.47,121.305,,,,
GO,Rio Verde,258.05,123.1,17.57,160.07,139.6975,,,,
GO,Rubiataba,284.63,126.33,10.1,155.27,144.0825,,,,
GO,Sanclerlândia,268.27,124.2,10.17,154.35,139.2475,,,,
GO,Santa Bárbara de Goiás,256.43,122.5,9.6,149.43,134.49,,,,
GO,Santa Cruz de Goiás,251.73,105.43,10.52,127.47,123.7875,,,,
GO,Santa Fé de Goiás,276.43,123.89,8.19,150.96,139.8675,,,,
GO,Santa Helena de Goiás,255.76,121.53,15.02,156.18,137.1225,,,,
GO,Santa Isabel,286.07,125.08,10.35,154.42,143.98,,,,
GO,Santa Rita do Araguaia,263.4,118.81,17.05,137.53,134.1975,,,,
GO,Santa Rita do Novo Destino,,,,,#DIV/0!,,,,
GO,Santa Rosa de Goiás,270.9,124.1,11.57,154.67,140.31,,,,
GO,Santa Tereza de Goiás,279.09,125.12,6.07,142.17,138.1125,,,,
GO,Santa Terezinha de Goiás,286.12,126.47,7.2,149.9,142.4225,,,,
GO,Santo Antônio da Barra,257.23,122.25,13.58,157.5,137.64,,,,
GO,Santo Antônio de Goiás,254.93,121.97,10.63,150.07,134.4,,,,
GO,Santo Antônio do Descoberto,252.96,118.83,9.46,147.36,132.1525,,,,
GO,São Domingos,257.07,118.02,4.25,122.52,125.465,,,,
GO,São Francisco de Goiás,281.6,123.77,11.67,154.8,142.96,,,,
GO,São João d'Aliança,262.07,116.82,7.24,130.95,129.27,,,,
GO,São João da Paraúna,261.53,123.07,10.87,154.43,137.475,,,,
GO,São Luís de Montes Belos,264.92,123.51,10.22,153.84,138.1225,,,,
GO,São Luíz do Norte,285.42,125.07,9.02,151.88,142.8475,,,,
GO,São Miguel do Araguaia,292.43,139.17,5.65,152.34,147.3975,,,,
GO,São Miguel do Passa Quatro,248.73,111.07,10.47,135.68,126.4875,,,,
GO,São Patrício,,,,,#DIV/0!,,,,
GO,São Simão,245.65,112.47,20.63,128.53,126.82,,,,
GO,Senador Canedo,245.73,118.07,9.2,142.13,128.7825,,,,
GO,Serranópolis,252.93,118.59,22.81,139.68,133.5025,,,,
GO,Silvânia,248.71,115.64,9.83,143.13,129.3275,,,,
GO,Simolândia,251.93,109.93,4.37,118.93,121.29,,,,
GO,Sítio d'Abadia,241.33,101.28,5.59,115.63,115.9575,,,,
GO,Taquaral de Goiás,269.27,124.83,11.87,155.77,140.435,,,,
GO,Teresina de Goiás,261.74,119.59,6.43,128.38,129.035,,,,
GO,Terezópolis de Goiás,254.13,120.83,10.7,149.57,133.8075,,,,
GO,Três Ranchos,256.7,92.73,6.17,124.17,119.9425,,,,
GO,Trindade,250.78,121.87,9.6,147.46,132.4275,,,,
GO,Trombas,273.83,122.72,6.4,139,135.4875,,,,
GO,Turvânia,260.57,123.27,10.3,152.63,136.6925,,,,
GO,Turvelândia,254.56,120.04,12.72,150.67,134.4975,,,,
GO,Uirapuru,288.29,130.02,6.22,150.43,143.74,,,,
GO,Uruaçu,282.75,125.24,8.12,148.83,141.235,,,,
GO,Uruana,284.27,125.12,10.18,154.48,143.5125,,,,
GO,Urutaí,259.22,98.5,11.55,122.95,123.055,,,,
GO,Valparaíso de Goiás,,,,,#DIV/0!,,,,
GO,Varjão,248.17,118.8,9.67,143.47,130.0275,,,,
GO,Vianópolis,250.07,111.33,10.21,136.73,127.085,,,,
GO,Vicentinópolis,251.63,117.53,11.64,143.43,131.0575,,,,
GO,Vila Boa,256.5,106.98,5.13,120.93,122.385,,,,
GO,Vila Propício,,,,,#DIV/0!,,,,
MA,Açailândia,230.01,210.99,29.53,66.34,134.2175,,,,
MA,Afonso Cunha,191.5,285.73,32.53,23.73,133.3725,,,,
MA,Água Doce do Maranhão,,,,,#DIV/0!,,,,
MA,Alcântara,189.9,375.71,139.74,9.44,178.6975,,,,
MA,Aldeias Altas,198.85,269.46,26.29,27.59,130.5475,,,,
MA,Altamira do Maranhão,224.97,278.6,35.27,39.93,144.6925,,,,
MA,Alto Alegre do Maranhão,,,,,#DIV/0!,,,,
MA,Alto Alegre do Pindaré,,,,,#DIV/0!,,,,
MA,Alto Parnaíba,203.72,103.38,2.43,100.37,102.475,,,,
MA,Amapá do Maranhão,,,,,#DIV/0!,,,,
MA,Amarante do Maranhão,181.5,171.15,16,59.1,106.9375,,,,
MA,Anajatuba,162.78,257.43,59.07,39.32,129.65,,,,
MA,Anapurus,181.95,294.83,45.5,21.03,135.8275,,,,
MA,Apicum-Açu,,,,,#DIV/0!,,,,
MA,Araguanã,,,,,#DIV/0!,,,,
MA,Araioses,142.84,278.37,41.49,5.68,117.095,,,,
MA,Arame,178.39,187.83,19.08,49.5,108.7,,,,
MA,Arari,183.33,274.58,51.42,42.13,137.865,,,,
MA,Axixá,191.2,331.4,84.1,20.33,156.7575,,,,
MA,Bacabal,222.03,283.83,26.5,35.23,141.8975,,,,
MA,Bacabeira,,,,,#DIV/0!,,,,
MA,Bacuri,142.67,333.67,124.57,12.82,153.4325,,,,
MA,Bacurituba,,,,,#DIV/0!,,,,
MA,Balsas,193.56,121.62,6.06,100.52,105.44,,,,
MA,Barão de Grajaú,166.91,147.38,8.65,57.89,95.2075,,,,
MA,Barra do Corda,173.19,162.5,12.29,58.73,101.6775,,,,
MA,Barreirinhas,151.6,293.38,57.28,7.42,127.42,,,,
MA,Belágua,,,,,#DIV/0!,,,,
MA,Bela Vista do Maranhão,,,,,#DIV/0!,,,,
MA,Benedito Leite,161.59,117.47,6.16,73.28,89.625,,,,
MA,Bequimão,160.29,314.47,125.32,8.98,152.265,,,,
MA,Bernardo do Mearim,,,,,#DIV/0!,,,,
MA,Boa Vista do Gurupi,,,,,#DIV/0!,,,,
MA,Bom Jardim,229.05,263.98,53.79,50.15,149.2425,,,,
MA,Bom Jesus das Selvas,,,,,#DIV/0!,,,,
MA,Bom Lugar,,,,,#DIV/0!,,,,
MA,Brejo,192.12,310.97,47.23,25.62,143.985,,,,
MA,Brejo de Areia,,,,,#DIV/0!,,,,
MA,Buriti,194,311.5,42.5,24.22,143.055,,,,
MA,Buriti Bravo,160.72,164.23,11.77,52.09,97.2025,,,,
MA,Buriticupu,,,,,#DIV/0!,,,,
MA,Buritirana,,,,,#DIV/0!,,,,
MA,Cachoeira Grande,,,,,#DIV/0!,,,,
MA,Cajapió,179.86,325.43,93.06,18.67,154.255,,,,
MA,Cajari,196.1,312.79,63.97,40.11,153.2425,,,,
MA,Campestre do Maranhão,,,,,#DIV/0!,,,,
MA,Cândido Mendes,205.05,388.93,151.6,21.09,191.6675,,,,
MA,Cantanhede,212.95,284.9,37.02,35.1,142.4925,,,,
MA,Capinzal do Norte,,,,,#DIV/0!,,,,
MA,Carolina,216.22,158.71,11.29,109.75,123.9925,,,,
MA,Carutapera,230.55,316.66,100.51,43.55,172.8175,,,,
MA,Caxias,203.56,249.55,19.67,35.39,127.0425,,,,
MA,Cedral,166.63,374.4,146.77,8.97,174.1925,,,,
MA,Central do Maranhão,,,,,#DIV/0!,,,,
MA,Centro do Guilherme,,,,,#DIV/0!,,,,
MA,Centro Novo do Maranhão,,,,,#DIV/0!,,,,
MA,Chapadinha,189.24,292.46,38.63,22.04,135.5925,,,,
MA,Cidelândia,,,,,#DIV/0!,,,,
MA,Codó,194.56,252.38,23.58,31.49,125.5025,,,,
MA,Coelho Neto,192.14,287.42,33.59,25.5,134.6625,,,,
MA,Colinas,172.08,167.12,10.87,59.21,102.32,,,,
MA,Conceição do Lago-Açu,,,,,#DIV/0!,,,,
MA,Coroatá,200,263.44,27.15,32.24,130.7075,,,,
MA,Cururupu,135.09,324.34,122.73,11.45,148.4025,,,,
MA,Davinópolis,,,,,#DIV/0!,,,,
MA,Dom Pedro,196.57,230.3,19.3,41.7,121.9675,,,,
MA,Duque Bacelar,195.55,302.57,40.92,27.23,141.5675,,,,
MA,Esperantinópolis,229.14,257.81,21.24,43.08,137.8175,,,,
MA,Estreito,205.93,159.33,13.73,95.02,118.5025,,,,
MA,Feira Nova do Maranhão,,,,,#DIV/0!,,,,
MA,Fernando Falcão,,,,,#DIV/0!,,,,
MA,Formosa da Serra Negra,,,,,#DIV/0!,,,,
MA,Fortaleza dos Nogueiras,186.92,129.8,10,80.65,101.8425,,,,
MA,Fortuna,148.38,155.97,11.4,46.65,90.6,,,,
MA,Godofredo Viana,209.25,385.84,151.57,22.82,192.37,,,,
MA,Gonçalves Dias,183.36,211.68,16.73,40.84,113.1525,,,,
MA,Governador Archer,192,223.9,17.3,37.73,117.7325,,,,
MA,Governador Edison Lobão,,,,,#DIV/0!,,,,
MA,Governador Eugênio Barros,167.86,188.07,14.05,43.38,103.34,,,,
MA,Governador Luiz Rocha,,,,,#DIV/0!,,,,
MA,Governador Newton Bello,,,,,#DIV/0!,,,,
MA,Governador Nunes Freire,,,,,#DIV/0!,,,,
MA,Graça Aranha,159.1,178.1,13.47,45.2,98.9675,,,,
MA,Grajaú,176.96,165.79,13.12,62.52,104.5975,,,,
MA,Guimarães,174.48,373.48,154.95,9.23,178.035,,,,
MA,Humberto de Campos,169.98,320.53,76.17,10.85,144.3825,,,,
MA,Icatu,174.1,330.46,84.5,11.04,150.025,,,,
MA,Igarapé do Meio,,,,,#DIV/0!,,,,
MA,Igarapé Grande,229.73,273.52,20.57,35.07,139.7225,,,,
MA,Imperatriz,238.65,197.02,20.36,76.92,133.2375,,,,
MA,Itaipava do Grajaú,,,,,#DIV/0!,,,,
MA,Itapecuru Mirim,194.06,280.42,46.38,32.16,138.255,,,,
MA,Itinga do Maranhão,,,,,#DIV/0!,,,,
MA,Jatobá,,,,,#DIV/0!,,,,
MA,Jenipapo dos Vieiras,,,,,#DIV/0!,,,,
MA,João Lisboa,205.22,174.17,17.98,69.09,116.615,,,,
MA,Joselândia,207.9,237.97,20.07,43.6,127.385,,,,
MA,Junco do Maranhão,,,,,#DIV/0!,,,,
MA,Lago da Pedra,227.29,264.8,22.98,39.8,138.7175,,,,
MA,Lago do Junco,226.9,278.51,22.84,34.49,140.685,,,,
MA,Lago Verde,216.95,286.68,32.12,37.83,143.395,,,,
MA,Lagoa do Mato,,,,,#DIV/0!,,,,
MA,Lago dos Rodrigues,,,,,#DIV/0!,,,,
MA,Lagoa Grande do Maranhão,,,,,#DIV/0!,,,,
MA,Lajeado Novo,,,,,#DIV/0!,,,,
MA,Lima Campos,203.77,246.47,20.03,34.77,126.26,,,,
MA,Loreto,171.35,112.38,8.61,72.51,91.2125,,,,
MA,Luís Domingues,191.13,392.07,157.33,11.77,188.075,,,,
MA,Magalhães de Almeida,146.47,265.93,47.63,12.53,118.14,,,,
MA,Maracaçumé,,,,,#DIV/0!,,,,
MA,Marajá do Sena,,,,,#DIV/0!,,,,
MA,Maranhãozinho,,,,,#DIV/0!,,,,
MA,Mata Roma,184.93,295.63,43.87,21.4,136.4575,,,,
MA,Matinha,187.89,318.87,85.73,29.63,155.53,,,,
MA,Matões,201.57,235,14.62,47.48,124.6675,,,,
MA,Matões do Norte,,,,,#DIV/0!,,,,
MA,Milagres do Maranhão,,,,,#DIV/0!,,,,
MA,Mirador,178.52,149.49,10.84,75.34,103.5475,,,,
MA,Miranda do Norte,200.23,276.03,42.7,40.37,139.8325,,,,
MA,Mirinzal,158.12,347.23,146.29,10.73,165.5925,,,,
MA,Monção,218.73,326.93,60.38,45.62,162.915,,,,
MA,Montes Altos,193.27,158.61,22.71,84,114.6475,,,,
MA,Morros,184,310.16,66.09,19.43,144.92,,,,
MA,Nina Rodrigues,191.57,295.27,49.07,23.98,139.9725,,,,
MA,Nova Colinas,,,,,#DIV/0!,,,,
MA,Nova Iorque,165.13,126.08,6.4,72.05,92.415,,,,
MA,Nova Olinda do Maranhão,,,,,#DIV/0!,,,,
MA,Olho d'Água das Cunhãs,221.1,293.59,33.68,38.71,146.77,,,,
MA,Olinda Nova do Maranhão,,,,,#DIV/0!,,,,
MA,Paço do Lumiar,188.17,361.9,105.4,8.4,165.9675,,,,
MA,Palmeirândia,177.67,321.4,115.92,17.08,158.0175,,,,
MA,Paraibano,191.53,174.63,10.2,64.97,110.3325,,,,
MA,Parnarama,177.34,198.26,13.41,49.19,109.55,,,,
MA,Passagem Franca,176.04,169.67,11.52,59.03,104.065,,,,
MA,Pastos Bons,183.63,160.6,8.86,70.77,105.965,,,,
MA,Paulino Neves,,,,,#DIV/0!,,,,
MA,Paulo Ramos,218.82,256.76,27.71,41.38,136.1675,,,,
MA,Pedreiras,212.9,258.03,19,33.13,130.765,,,,
MA,Pedro do Rosário,,,,,#DIV/0!,,,,
MA,Penalva,210.18,321.77,69.05,38.23,159.8075,,,,
MA,Peri Mirim,169.57,312.87,119.37,11.77,153.395,,,,
MA,Peritoró,,,,,#DIV/0!,,,,
MA,Pindaré-Mirim,233.03,280.7,54,42.73,152.615,,,,
MA,Pinheiro,198.81,339.32,111.6,24.83,168.64,,,,
MA,Pio XII,216.57,307.9,44.43,43.37,153.0675,,,,
MA,Pirapemas,208.31,283.28,33.86,31.38,139.2075,,,,
MA,Poção de Pedras,230.02,268.4,20.9,38.06,139.345,,,,
MA,Porto Franco,195.79,161.65,17.09,87.56,115.5225,,,,
MA,Porto Rico do Maranhão,,,,,#DIV/0!,,,,
MA,Presidente Dutra,173.34,202.32,17.47,45.33,109.615,,,,
MA,Presidente Juscelino,191.14,315.41,72.21,23.64,150.6,,,,
MA,Presidente Médici,,,,,#DIV/0!,,,,
MA,Presidente Sarney,,,,,#DIV/0!,,,,
MA,Presidente Vargas,190.07,302.5,58.53,23.5,143.65,,,,
MA,Primeira Cruz,159.28,310.94,69.48,7.82,136.88,,,,
MA,Raposa,,,,,#DIV/0!,,,,
MA,Riachão,188.18,138.15,9.92,98.84,108.7725,,,,
MA,Ribamar Fiquene,,,,,#DIV/0!,,,,
MA,Rosário,190.95,330.28,88.55,24.32,158.525,,,,
MA,Sambaíba,190.25,120.72,6.7,82.76,100.1075,,,,
MA,Santa Filomena do Maranhão,,,,,#DIV/0!,,,,
MA,Santa Helena,197.68,374.52,145.41,20.29,184.475,,,,
MA,Santa Inês,231.23,304.93,52.73,46.07,158.74,,,,
MA,Santa Luzia,213.77,234.91,35.66,48.12,133.115,,,,
MA,Santa Luzia do Paruá,222.74,346.56,113.68,33.47,179.1125,,,,
MA,Santa Quitéria do Maranhão,169.14,276.72,45.79,19.46,127.7775,,,,
MA,Santa Rita,183.44,298.33,70.14,29.59,145.375,,,,
MA,Santana do Maranhão,,,,,#DIV/0!,,,,
MA,Santo Amaro do Maranhão,,,,,#DIV/0!,,,,
MA,Santo Antônio dos Lopes,200.37,236.45,18.8,38.1,123.43,,,,
MA,São Benedito do Rio Preto,183.87,298.1,53.08,20.27,138.83,,,,
MA,São Bento,186.23,323.97,105.57,17.93,158.425,,,,
MA,São Bernardo,154.83,262.65,46.6,15.09,119.7925,,,,
MA,São Domingos do Azeitão,,,,,#DIV/0!,,,,
MA,São Domingos do Maranhão,157.51,165.51,10.41,49.04,95.6175,,,,
MA,São Félix de Balsas,164.07,119.12,8.34,72,90.8825,,,,
MA,São Francisco do Brejão,,,,,#DIV/0!,,,,
MA,São Francisco do Maranhão,174.6,173.76,8.43,56.56,103.3375,,,,
MA,São João Batista,169.97,298.2,80.72,29.47,144.59,,,,
MA,São João do Carú,,,,,#DIV/0!,,,,
MA,São João do Paraíso,,,,,#DIV/0!,,,,
MA,São João do Soter,,,,,#DIV/0!,,,,
MA,São João dos Patos,173.33,149.46,10.59,62.57,98.9875,,,,
MA,São José de Ribamar,181.2,344.77,94.83,10.4,157.8,,,,
MA,São José dos Basílios,,,,,#DIV/0!,,,,
MA,São Luís,211.17,371.77,103.5,13.57,175.0025,,,,
MA,São Luís Gonzaga do Maranhão,218.71,266.48,21.28,33.02,134.8725,,,,
MA,São Mateus do Maranhão,215.53,273.98,27.53,35.19,138.0575,,,,
MA,São Pedro da Água Branca,,,,,#DIV/0!,,,,
MA,São Pedro dos Crentes,,,,,#DIV/0!,,,,
MA,São Raimundo das Mangabeiras,188.49,124.99,9.59,80.21,100.82,,,,
MA,São Raimundo do Doca Bezerra,,,,,#DIV/0!,,,,
MA,São Roberto,,,,,#DIV/0!,,,,
MA,São Vicente Ferrer,183.2,317,90.97,25.03,154.05,,,,
MA,Satubinha,,,,,#DIV/0!,,,,
MA,Senador Alexandre Costa,,,,,#DIV/0!,,,,
MA,Senador La Rocque,,,,,#DIV/0!,,,,
MA,Serrano do Maranhão,,,,,#DIV/0!,,,,
MA,Sítio Novo,179.78,161.88,14.08,74.85,107.6475,,,,
MA,Sucupira do Norte,175.43,149.97,9.2,70.39,101.2475,,,,
MA,Sucupira do Riachão,,,,,#DIV/0!,,,,
MA,Tasso Fragoso,190.66,117.04,4.76,89.18,100.41,,,,
MA,Timbiras,191.51,277.62,30.47,26.41,131.5025,,,,
MA,Timon,207.28,251.23,14.17,39.58,128.065,,,,
MA,Trizidela do Vale,,,,,#DIV/0!,,,,
MA,Tufilândia,,,,,#DIV/0!,,,,
MA,Tuntum,168.18,174.12,12.38,49.65,101.0825,,,,
MA,Turiaçu,190.04,391.53,155.52,17.16,188.5625,,,,
MA,Turilândia,,,,,#DIV/0!,,,,
MA,Tutóia,153.15,280.41,47.76,8.03,122.3375,,,,
MA,Urbano Santos,172.25,290.98,51.19,16.51,132.7325,,,,
MA,Vargem Grande,196.09,288.45,38.58,25.88,137.25,,,,
MA,Viana,191.37,314.38,75.92,34.92,154.1475,,,,
MA,Vila Nova dos Martírios,,,,,#DIV/0!,,,,
MA,Vitória do Mearim,211.01,301.9,46.14,43.01,150.515,,,,
MA,Vitorino Freire,224.88,287.13,36.75,39.77,147.1325,,,,
MA,Zé Doca,226.42,299.27,70.18,41.5,159.3425,,,,
MG,Abadia dos Dourados,259.47,91.87,5.93,127.26,121.1325,,,,
MG,Abaeté,227.96,78.53,11.84,113.77,108.025,,,,
MG,Abre Campo,221.6,88.12,19.57,125.48,113.6925,,,,
MG,Acaiaca,238.5,87.13,15.3,125.53,116.615,,,,
MG,Açucena,188.94,78.22,14.74,117.28,99.795,,,,
MG,Água Boa,178.69,68.86,13.24,113.18,93.4925,,,,
MG,Água Comprida,252.22,105.35,14.72,128.53,125.205,,,,
MG,Aguanil,256.4,101.47,22.23,130.03,127.5325,,,,
MG,Águas Formosas,132.32,66.36,31.4,101.54,82.905,,,,
MG,Águas Vermelhas,137.34,53.23,9.47,89.1,72.285,,,,
MG,Aimorés,170.23,80.54,25.23,121.85,99.4625,,,,
MG,Aiuruoca,276.9,104.72,23.08,137.15,135.4625,,,,
MG,Alagoa,307,123.07,29.57,150.63,152.5675,,,,
MG,Albertina,261.3,104.47,32.9,130.3,132.2425,,,,
MG,Além Paraíba,243.07,95.08,22.45,123.17,120.9425,,,,
MG,Alfenas,246.77,100.87,27.87,129.03,126.135,,,,
MG,Alfredo Vasconcelos,272.27,102.6,20.53,140.23,133.9075,,,,
MG,Almenara,113.18,66.49,31.91,87.02,74.65,,,,
MG,Alpercata,169.47,70.27,15.17,113.33,92.06,,,,
MG,Alpinópolis,242.78,101.42,20.76,129.14,123.525,,,,
MG,Alterosa,245.5,101.63,24.38,130.6,125.5275,,,,
MG,Alto Caparaó,,,,,#DIV/0!,,,,
MG,Alto Rio Doce,265.9,101.27,18.47,133,129.66,,,,
MG,Alvarenga,182.33,78.7,20.6,119.53,100.29,,,,
MG,Alvinópolis,255.88,94.03,15.15,130.98,124.01,,,,
MG,Alvorada de Minas,239.73,89.93,10.83,130.07,117.64,,,,
MG,Amparo do Serra,227.47,84.1,16.3,122.73,112.65,,,,
MG,Andradas,268.6,109.53,31.63,135,136.19,,,,
MG,Cachoeira de Pajeú,132.45,53.48,11.33,85.92,70.795,,,,
MG,Andrelândia,263.82,97.98,18.83,130.53,127.79,,,,
MG,Angelândia,,,,,#DIV/0!,,,,
MG,Antônio Carlos,268.8,104,20.93,135.23,132.24,,,,
MG,Antônio Dias,237,92.57,13.97,124.7,117.06,,,,
MG,Antônio Prado de Minas,203.2,84.23,23.3,118.6,107.3325,,,,
MG,Araçaí,252.6,83.97,10.13,120.53,116.8075,,,,
MG,Aracitaba,266.6,103.63,18.3,130.83,129.84,,,,
MG,Araçuaí,144.62,51.14,10.55,93.98,75.0725,,,,
MG,Araguari,245.54,98.84,7.95,121.67,118.5,,,,
MG,Arantina,265.33,102.07,21.37,130.37,129.785,,,,
MG,Araponga,241.55,96.87,24.32,134.15,124.2225,,,,
MG,Araporã,242.4,107.77,9.93,124,121.025,,,,
MG,Arapuá,245.2,89.17,14.03,131.37,119.9425,,,,
MG,Araújos,246.87,99.53,15.03,121.57,120.75,,,,
MG,Araxá,256.97,111.1,24.66,136.73,132.365,,,,
MG,Arceburgo,242.27,94.4,21.53,119.33,119.3825,,,,
MG,Arcos,243,100.93,18.47,127.47,122.4675,,,,
MG,Areado,248.73,102.97,25.07,132.3,127.2675,,,,
MG,Argirita,246.67,93.03,19.83,122.93,120.615,,,,
MG,Aricanduva,,,,,#DIV/0!,,,,
MG,Arinos,229.46,81.9,4.1,110.13,106.3975,,,,
MG,Astolfo Dutra,229.67,82.23,17.1,116.2,111.3,,,,
MG,Ataléia,154.64,71.87,30.41,118.71,93.9075,,,,
MG,Augusto de Lima,213.19,75.46,6.01,112.14,101.7,,,,
MG,Baependi,268.03,100.04,22.91,133.73,131.1775,,,,
MG,Baldim,257.03,87.2,10.63,127.1,120.49,,,,
MG,Bambuí,239.13,100.73,19.28,130.68,122.455,,,,
MG,Bandeira,114.4,75.5,57.7,96.63,86.0575,,,,
MG,Bandeira do Sul,269.33,111.73,27.37,137.1,136.3825,,,,
MG,Barão de Cocais,274.83,96.37,14.97,136.27,130.61,,,,
MG,Barão de Monte Alto,218.4,83.77,23.23,120.47,111.4675,,,,
MG,Barbacena,262.88,99.17,19.1,134.03,128.795,,,,
MG,Barra Longa,240.27,88.1,14.7,125.77,117.21,,,,
MG,Barroso,260.2,98.5,17.77,131.37,126.96,,,,
MG,Bela Vista de Minas,242.73,92.07,12.5,123.63,117.7325,,,,
MG,Belmiro Braga,233.4,94.23,20.03,115.97,115.9075,,,,
MG,Belo Horizonte,271.83,90.93,13.97,134.9,127.9075,,,,
MG,Belo Oriente,175.13,73.13,14.5,113.87,94.1575,,,,
MG,Belo Vale,269.6,101.7,15.6,137.87,131.1925,,,,
MG,Berilo,161.28,58.18,7.93,102.57,82.49,,,,
MG,Bertópolis,127,75.23,42.13,103.49,86.9625,,,,
MG,Berizal,,,,,#DIV/0!,,,,
MG,Betim,260.97,92.1,12.57,128.37,123.5025,,,,
MG,Bias Fortes,260.93,102.87,18.5,126.77,127.2675,,,,
MG,Bicas,257.13,101.13,21.3,127.67,126.8075,,,,
MG,Biquinhas,229.53,76.5,9.5,116.98,108.1275,,,,
MG,Boa Esperança,249.47,98.63,24.17,127,124.8175,,,,
MG,Bocaina de Minas,295.2,117.97,28.2,144.6,146.4925,,,,
MG,Bocaiúva,189.35,68.36,5.58,113.29,94.145,,,,
MG,Bom Despacho,236.13,90.62,13.48,115.74,113.9925,,,,
MG,Bom Jardim de Minas,261.47,102.6,22.07,128.33,128.6175,,,,
MG,Bom Jesus da Penha,246.27,102.37,20.9,131.43,125.2425,,,,
MG,Bom Jesus do Amparo,268.97,97.3,13.53,132.1,127.975,,,,
MG,Bom Jesus do Galho,193,79.1,15.93,115.13,100.79,,,,
MG,Bom Repouso,275.3,108.47,36.63,135.2,138.9,,,,
MG,Bom Sucesso,310.09,108.81,20.12,151.44,147.615,,,,
MG,Bonfim,265.63,101.73,14.57,135.37,129.325,,,,
MG,Bonfinópolis de Minas,238.1,79.95,6.8,118.23,110.77,,,,
MG,Bonito de Minas,,,,,#DIV/0!,,,,
MG,Borda da Mata,256.33,103.73,33.1,129.4,130.64,,,,
MG,Botelhos,255.4,104.6,24.43,133.33,129.44,,,,
MG,Botumirim,176.55,64.64,7.18,109.44,89.4525,,,,
MG,Brasilândia de Minas,,,,,#DIV/0!,,,,
MG,Brasília de Minas,185.32,71.87,5.76,106.85,92.45,,,,
MG,Brás Pires,252.97,94.07,17.6,129.13,123.4425,,,,
MG,Braúnas,211.28,86,13.83,122.12,108.3075,,,,
MG,Brasópolis,262.3,100.53,30.4,126.33,129.89,,,,
MG,Brumadinho,270.08,99.32,15.48,138.93,130.9525,,,,
MG,Bueno Brandão,260.6,102.63,34.87,127.73,131.4575,,,,
MG,Buenópolis,206.33,75.49,6.42,114.71,100.7375,,,,
MG,Bugre,,,,,#DIV/0!,,,,
MG,Buritis,247.33,96.72,5.13,116.62,116.45,,,,
MG,Buritizeiro,206.7,65.99,5.33,110.92,97.235,,,,
MG,Cabeceira Grande,,,,,#DIV/0!,,,,
MG,Cabo Verde,247.9,102.6,22.83,132.9,126.5575,,,,
MG,Cachoeira da Prata,255.9,88.07,10.83,119.93,118.6825,,,,
MG,Cachoeira de Minas,254,100.77,32.6,124.8,128.0425,,,,
MG,Cachoeira Dourada,246.07,110.7,10.73,125.73,123.3075,,,,
MG,Caetanópolis,252.77,85.17,10.6,118.53,116.7675,,,,
MG,Caeté,273.87,95.2,14.42,135.47,129.74,,,,
MG,Caiana,201.5,87.93,25.4,123.97,109.7,,,,
MG,Cajuri,228.73,86.73,19,124.87,114.8325,,,,
MG,Caldas,277.7,114.7,30.23,139.1,140.4325,,,,
MG,Camacho,262.93,109.77,18.67,132.57,130.985,,,,
MG,Camanducaia,275.87,109.37,42.3,134.33,140.4675,,,,
MG,Cambuí,263.57,104.03,36.9,128.23,133.1825,,,,
MG,Cambuquira,256.93,94.6,22,128.5,125.5075,,,,
MG,Campanário,164.8,68.47,19.87,115.33,92.1175,,,,
MG,Campanha,257.82,96.32,23.67,129.03,126.71,,,,
MG,Campestre,265.22,109.82,27.82,136.92,134.945,,,,
MG,Campina Verde,235.82,104.79,17.92,119.11,119.41,,,,
MG,Campo Azul,,,,,#DIV/0!,,,,
MG,Campo Belo,264,102.8,21.5,132.67,130.2425,,,,
MG,Campo do Meio,244.48,99.4,24.23,127.03,123.785,,,,
MG,Campo Florido,242.52,107.21,14.28,127.34,122.8375,,,,
MG,Campos Altos,245.57,98.69,19.07,133.52,124.2125,,,,
MG,Campos Gerais,245.78,99.38,26,127.38,124.635,,,,
MG,Canaã,228.47,88.5,19.77,126.5,115.81,,,,
MG,Canápolis,240.98,108.58,11.13,122.92,120.9025,,,,
MG,Cana Verde,261.03,98.37,22.3,130.27,127.9925,,,,
MG,Candeias,259.42,104.92,20.77,131.87,129.245,,,,
MG,Cantagalo,,,,,#DIV/0!,,,,
MG,Caparaó,207,89.4,25.23,127.8,112.3575,,,,
MG,Capela Nova,266.27,99.6,17.6,134.57,129.51,,,,
MG,Capelinha,179.26,66.33,14.13,114.18,93.475,,,,
MG,Capetinga,257.6,107.6,19.53,133.57,129.575,,,,
MG,Capim Branco,261.03,87.93,11.9,125.8,121.665,,,,
MG,Capinópolis,250.17,113.42,12.02,128.52,126.0325,,,,
MG,Capitão Andrade,171.37,72.63,16.63,115.12,93.9375,,,,
MG,Capitão Enéas,158.11,51.21,2.12,95.17,76.6525,,,,
MG,Capitólio,246.23,104.1,21.4,132.67,126.1,,,,
MG,Caputira,212.15,86.33,19.52,123.42,110.355,,,,
