Sigla,Município,Q1,Q2,Q3,Q4,Average Precipitation,,,,
AL,Pariconha,43.43,61.23,40.4,15.8,40.215,,,,
AL,Paripueira,65,232.17,222.77,76.03,148.9925,,,,
AL,Passo de Camaragibe,63.1,209.73,214.1,70.07,139.25,,,,
AL,Paulo Jacinto,52.4,166.63,216.83,56.5,123.09,,,,
AL,Penedo,44.63,177.36,159.58,51.04,108.1525,,,,
AL,Piaçabuçu,46.7,178.53,137.9,44.17,101.825,,,,
AL,Pilar,62.2,220.53,242.83,75.57,150.2825,,,,
AL,Pindoba,50.9,160.97,194.07,53.57,114.8775,,,,
AL,Piranhas,42.47,76.83,77.88,19.03,54.0525,,,,
AL,Poço das Trincheiras,39.67,89.83,97.3,21.23,62.0075,,,,
AL,Porto Calvo,67.5,194.4,202.1,55.9,129.975,,,,
AL,Porto de Pedras,62.47,186.2,179.17,49.2,119.26,,,,
AL,Porto Real do Colégio,36.2,127.57,126.8,39.53,82.525,,,,
AL,Quebrangulo,52.3,157.33,206.93,53.6,117.54,,,,
AL,Rio Largo,53.67,192.6,219.4,62.9,132.1425,,,,
AL,Roteiro,63.07,240.03,226.43,69.2,149.6825,,,,
AL,Santa Luzia do Norte,76.8,267.13,277.07,91,178,,,,
AL,Santana do Ipanema,31.23,86.2,92.5,20.33,57.565,,,,
AL,Santana do Mundaú,46.87,145.43,198.9,51.13,110.5825,,,,
AL,São Brás,35.27,105.7,109.13,34.53,71.1575,,,,
AL,São José da Laje,36.7,127.7,149.57,36.5,87.6175,,,,
AL,São José da Tapera,29.13,66.7,67.27,17.67,45.1925,,,,
AL,São Luís do Quitunde,63.1,209.73,214.1,70.07,139.25,,,,
AL,São Miguel dos Campos,51.18,197.8,196.17,57.73,125.72,,,,
AL,São Miguel dos Milagres,65.6,217.87,202.93,63.07,137.3675,,,,
AL,São Sebastião,33.83,125.07,134.4,39.07,83.0925,,,,
AL,Satuba,62.2,220.53,242.83,75.57,150.2825,,,,
AL,Senador Rui Palmeira,34.82,73.12,79.72,17.9,51.39,,,,
AL,Tanque d'Arca,42.43,146.9,178.07,48.9,104.075,,,,
AL,Taquarana,36.07,123.57,151.37,39.13,87.535,,,,
AL,Teotônio Vilela,37.6,146.3,155.33,44.73,95.99,,,,
AL,Traipu,32.47,91.56,98.32,27.88,62.5575,,,,
AL,União dos Palmares,47.98,150.4,197.4,52.83,112.1525,,,,
AL,Viçosa,50.9,160.97,194.07,53.57,114.8775,,,,
AM,Alvarães,245.49,278.23,132.8,172.48,207.25,,,,
AM,Amaturá,279.37,286.84,179.31,194.55,235.0175,,,,
AM,Anamã,249.3,263.79,97.3,143.53,188.48,,,,
AM,Anori,257.1,258.49,88.95,151.6,189.035,,,,
AM,Apuí,338.34,262.68,40.02,194.88,208.98,,,,
AM,Atalaia do Norte,275.18,257.84,120.31,199.79,213.28,,,,
AM,Autazes,269.26,275.4,80.33,105.56,182.6375,,,,
AM,Barcelos,166.25,277.5,229.11,164.21,209.2675,,,,
AM,Barreirinha,254.78,281.57,109.05,85.05,182.6125,,,,
AM,Benjamin Constant,293.14,268.69,113.17,200.66,218.915,,,,
AM,Beruri,276.47,263.64,83.97,158.82,195.725,,,,
AM,Boa Vista do Ramos,251.94,279.48,105.11,74.98,177.8775,,,,
