Acre ,28269
Alagoas ,13186
Amapá,219
Amazonas ,6661
Bahia ,13827
Ceará ,22756
Espírito Santo,18879
Goiás,93929
Maranhão,2652
Mato Grosso ,716
Mato Grosso do Sul ,3423
Minas Gerais ,58177
Pará,4496
Paraíba,5625
Paraná,22701
Pernambuco ,10488
Piauí,7657
Rio de Janeiro ,7717
Rio Grande do Norte ,11498
Rio Grande do Sul ,153
Rondônia,1985
Roraima ,1123
Santa Catarina ,134
São Paulo,226866
Sergipe ,2246
Tocantins ,3652
